fingerprint,rec_id,asof,strategy_version,universe,horizon_d,symbol,weight,buy_price,mature_date,exit_price,actual_ret,holding_days,holding_months,rank,universe_n,hit_top25,regime,scored,source
REC-20211001-0027,2021-10-01_63,2021-10-01,AEGIS Core v2.2 (2026-06-22),nifty200,63,RELIANCE,0.0731,1145.58,2022-01-03,1091.18,-4.75,63,3.0,150.0,218.0,0.0,Neutral,1,historical
REC-20211001-0028,2021-10-01_63,2021-10-01,AEGIS Core v2.2 (2026-06-22),nifty200,63,SBILIFE,0.0717,1209.05,2022-01-03,1209.4,0.03,63,3.0,114.0,218.0,0.0,Neutral,1,historical
REC-20211001-0029,2021-10-01_63,2021-10-01,AEGIS Core v2.2 (2026-06-22),nifty200,63,NHPC,0.0416,29.1,2022-01-03,31.2,7.22,63,3.0,62.0,218.0,0.0,Neutral,1,historical
REC-20220103-0030,2022-01-03_63,2022-01-03,AEGIS Core v2.2 (2026-06-22),nifty200,63,COLPAL,0.1281,1463.8,2022-04-05,1586.7,8.4,63,3.0,63.0,221.0,0.0,Strong,1,historical
REC-20220103-0031,2022-01-03_63,2022-01-03,AEGIS Core v2.2 (2026-06-22),nifty200,63,PETRONET,0.0732,218.8,2022-04-05,199.6,-8.78,63,3.0,161.0,221.0,0.0,Strong,1,historical
REC-20220103-0032,2022-01-03_63,2022-01-03,AEGIS Core v2.2 (2026-06-22),nifty200,63,NESTLEIND,0.0907,983.9,2022-04-05,901.16,-8.41,63,3.0,155.0,221.0,0.0,Strong,1,historical
REC-20220103-0033,2022-01-03_63,2022-01-03,AEGIS Core v2.2 (2026-06-22),nifty200,63,HEROMOTOCO,0.049,2476.6,2022-04-05,2332.25,-5.83,63,3.0,139.0,221.0,0.0,Strong,1,historical
REC-20220103-0034,2022-01-03_63,2022-01-03,AEGIS Core v2.2 (2026-06-22),nifty200,63,HDFCBANK,0.088,759.83,2022-04-05,804.13,5.83,63,3.0,72.0,221.0,0.0,Strong,1,historical
REC-20220103-0035,2022-01-03_63,2022-01-03,AEGIS Core v2.2 (2026-06-22),nifty200,63,BAJAJ-AUTO,0.0434,3277.1,2022-04-05,3809.7,16.25,63,3.0,34.0,221.0,1.0,Strong,1,historical
REC-20220103-0036,2022-01-03_63,2022-01-03,AEGIS Core v2.2 (2026-06-22),nifty200,63,HDFCLIFE,0.0491,650.5,2022-04-05,569.65,-12.43,63,3.0,182.0,221.0,0.0,Strong,1,historical
