cash_annual,cost_bps,candidate,cagr_full,sharpe_full,max_dd_full,ulcer_full,cvar5_full,avg_exp,cagr_disc,max_dd_disc,ulcer_disc,cagr_conf,max_dd_conf,ulcer_conf,cvar5_conf,dsr,strong_cagr,strong_dd,strong_ulcer,neutral_cagr,neutral_dd,neutral_ulcer,weak_cagr,weak_dd,weak_ulcer
0.0,15,N0,0.12536164296477215,1.265462775910504,-0.15887204572598346,6.050918838302391,-0.014147173990689035,0.7669473684210527,0.21154283257851003,-0.15887204572598324,4.981581422798364,0.03677544746437933,-0.1251219981581153,7.046640702360733,-0.01263155365349154,0.728171425959429,0.14837090275045672,-0.13869817770944604,4.552845449405862,0.13780331326698003,-0.11024703059291929,4.628301649755084,0.08332058738429038,-0.07294434176697873,2.2683300255603713
0.0,15,H21,0.08130111843796284,0.9795745488725968,-0.16899510127344208,9.492547923011234,-0.01212870887166951,0.7478169491525424,0.10006038018061436,-0.16725202269204098,8.916799787434034,0.024771490061446633,-0.1689951012734422,10.31486405947444,-0.012018657032571803,0.5137428806229369,0.16959424620064012,-0.10837004236587366,4.121463135670449,-0.04343221601845315,-0.09793129623360874,6.233664815547189,0.06329855857603484,-0.06371277893718119,2.7854679492800196
0.0,15,H42,0.09973347153525802,1.126224205741839,-0.1731836153674824,8.282119701094002,-0.01333891839644626,0.7326620689655173,0.1188109449099608,-0.1731836153674824,9.269743567437388,0.030048558477878906,-0.1377360632583905,7.485149062696703,-0.011769351837050334,0.6289167950453485,0.1355848286158734,-0.17961197036558074,6.610571947965395,0.10222226192285144,-0.09826358173146499,2.686480307894606,0.058979899636790956,-0.07221342634725225,2.280007572582214
0.0,15,H84,0.07178140335316519,0.7809412599324417,-0.16808297567832609,7.335908099867538,-0.014344109395772334,0.7365999999999999,0.14222670420429884,-0.16808297567832609,7.184259208139205,0.005680722001594196,-0.12914517034275175,7.478378652931106,-0.011194421090763955,0.3289381237557776,0.07646866937562513,-0.16808297567832609,6.686344294659542,0.058699520642396585,-0.09989419541199918,4.2652027763613285,0.0735789216934577,-0.0729443417669785,1.9254761554446973
0.0,30,N0,0.11748745116770531,1.1915019293007267,-0.16038880621255236,6.406578309348474,-0.014203708902008227,0.7669473684210527,0.203620580890028,-0.16038880621255236,5.162789947754473,0.02899368662523516,-0.12892432753382244,7.547044921309913,-0.012764621412877137,0.673776593194428,0.14133389819963882,-0.13869817770944604,4.744135392733476,0.1297869498436519,-0.11178450661127837,4.780046983200177,0.07491223674078751,-0.07294434176697873,2.425042001153645
0.0,30,H21,0.058601868185367056,0.7227598575488442,-0.19367940764333325,10.831588067000315,-0.01224178341888455,0.7478169491525424,0.07748762883446725,-0.18139005900303995,10.224392243599274,0.0030221413797215657,-0.19367940764333358,11.72820219525085,-0.012161952777789423,0.2985769268172685,0.1472910231213891,-0.1198261954754477,4.535993306346919,-0.06358586392046917,-0.10184835666631642,7.095793121720077,0.04006062448676806,-0.06818067601291322,3.1588310970626914
0.0,30,H42,0.08853268706190875,1.0086683133240866,-0.17921368488232114,8.86188136589287,-0.013394280787587805,0.7326620689655173,0.10837551799379597,-0.17921368488232114,9.818852898306803,0.018586211668492725,-0.15008229747763913,8.13119355304082,-0.011845332722033712,0.5312319677232894,0.12544506285031676,-0.18354990021460726,6.858031441856065,0.09139295071269782,-0.0982635817314651,2.72831339425217,0.04672642919394332,-0.07221342634725236,2.3672588140984816
0.0,30,H84,0.06608344838964264,0.7238927467716201,-0.1693327258400512,7.616944850453821,-0.014348648438530917,0.7365999999999999,0.13682907457813198,-0.1693327258400512,7.410242463737135,-0.0002596306290719719,-0.13643705433410802,7.811882106653996,-0.011194421090763965,0.28607483201378753,0.0720306357816447,-0.1693327258400512,6.817620208625801,0.05288857060309238,-0.09989419541199895,4.292953985304546,0.06696561613142848,-0.07294434176697862,1.9604831915016028
0.0,50,N0,0.10705115274740673,1.0908864138164722,-0.16241115352797786,6.89499304914646,-0.014316444358756954,0.7669473684210527,0.19311565804690334,-0.16241115352797786,5.415461195435232,0.01868537190683872,-0.13578211753860936,8.227461458469557,-0.013010375216609105,0.5932881686309791,0.13199805525244424,-0.13869817770944626,5.009389488885158,0.11916406134056645,-0.11383447463575658,4.99100775155525,0.06377637895840227,-0.0729443417669785,2.675611194176585
0.0,50,H21,0.02901296165100664,0.3799985561437963,-0.22552143484355847,12.672063922984176,-0.01253536356170249,0.7478169491525424,0.04804702181366216,-0.19991462455247555,12.098370141885894,-0.02532020836395843,-0.22552143484355813,13.604750294600757,-0.012489920261754694,0.09908051306185345,0.11815488097490001,-0.13490108811166845,5.10486450385478,-0.08985472987884102,-0.11961745949260483,8.42042101323403,0.009797890463778769,-0.07819805619539588,3.7128263374895707
