cash_annual,cost_bps,candidate,cagr_full,sharpe_full,max_dd_full,ulcer_full,cvar5_full,avg_exp,cagr_disc,max_dd_disc,ulcer_disc,cagr_conf,max_dd_conf,ulcer_conf,cvar5_conf,dsr,weak_cagr,weak_dd,weak_ulcer
0.0,15,N0,0.13177371612663968,1.3239161416781455,-0.15760875827490384,5.788984149959081,-0.014134514481212269,0.7669473684210527,0.218098151345961,-0.15760875827490384,4.838538688586823,0.04301357072858103,-0.1224965268366589,6.6839031950159695,-0.012580743602508306,0.778295682501024,0.0897952944045961,-0.07294767451253015,2.175622823877594
0.0,15,A,0.1360946992414489,1.3148224689100276,-0.15760875827490384,5.620056140766327,-0.014649560862709379,0.8022171052631579,0.22162501298215886,-0.15760875827490384,4.771484237460798,0.048065807348027345,-0.13541297641489236,6.428486771688988,-0.013635359049099677,0.772817472703957,0.1452523505029042,-0.060584516579953784,2.087660940731878
0.0,15,B,0.127726376444947,1.3235890131397745,-0.15760875827490384,5.957633748786349,-0.013818711606984278,0.7336907894736843,0.2145580094732047,-0.15760875827490384,4.915847700554549,0.0385079432822919,-0.11245509520172225,6.929299089575975,-0.011748585048887589,0.7778437613619369,0.07786129839274336,-0.055315791904264056,1.8898563518169347
0.0,15,C,0.1323682694641779,1.3334067218299845,-0.1547136007091653,5.69095756709395,-0.014044623488962163,0.7660116959064328,0.21898269345844534,-0.1547136007091653,4.644524612115492,0.043328793473804694,-0.1224965268366589,6.659201306885976,-0.012580743602508332,0.784248855197483,0.09024698803136588,-0.07294767451253015,2.178090913324106
0.0,15,D,0.1558823291441922,1.4046479828440606,-0.15622138586049295,5.133121434542579,-0.015403801006436603,0.85,0.24266049637366782,-0.14424902381821147,4.681461500193854,0.06655080709073524,-0.15622138586049306,5.588118891741443,-0.014555872191143255,0.8270817578393497,,,
0.0,30,N0,0.13028229894166188,1.310047260428237,-0.1578615514853844,5.871740918135559,-0.014137840444147703,0.7669473684210527,0.21670652875103258,-0.1578615514853844,4.869474782007752,0.04143598390081671,-0.12367401550574242,6.810012162745975,-0.012612033234593941,0.7694872624814293,0.08781635696239731,-0.07294767451253026,2.2004876432339637
0.0,30,A,0.1349055861914359,1.304226880275209,-0.1578615514853844,5.683374465324816,-0.014649560862709373,0.8022171052631579,0.22037888649105342,-0.1578615514853844,4.798783367847289,0.046937843461084316,-0.13634956685467436,6.522634186348397,-0.01364112610922266,0.7659983011384875,0.1437157528695705,-0.06132047888355896,2.1191325367429767
0.0,30,B,0.12591191544884262,1.3061192332099343,-0.1578615514853844,6.057010025600949,-0.013834396827321288,0.7336907894736843,0.21302172086579474,-0.1578615514853844,4.950955371424614,0.036440165284542525,-0.11492158506987404,7.081569961716844,-0.011785104063423564,0.7667220367079259,0.07518166036436336,-0.055315791904263945,1.9453253296293371
0.0,30,C,0.1308379666626367,1.3191656621094983,-0.15503493164665227,5.7759632099433516,-0.014046186569797666,0.7660116959064328,0.2175120575008913,-0.15503493164665239,4.678775422159992,0.041750785830483084,-0.12367401550574253,6.7857289803664385,-0.01260838589231823,0.7753418216187988,0.08822882522482267,-0.07294767451253048,2.2029820944567127
0.0,30,D,0.1558823291441922,1.4046479828440606,-0.15622138586049295,5.133121434542579,-0.015403801006436603,0.85,0.24266049637366782,-0.14424902381821147,4.681461500193854,0.06655080709073524,-0.15622138586049306,5.588118891741443,-0.014555872191143255,0.8270817578393497,,,
0.0,50,N0,0.1282954334598858,1.2914021383653098,-0.15819860909935868,5.983342103593854,-0.014158201732402096,0.7669473684210527,0.21485261126086885,-0.15819860909935868,4.9111947255385955,0.03933443891902355,-0.12524314667089775,6.979502621486777,-0.01265416003787893,0.7573312009494042,0.08518117419765336,-0.07294767451253037,2.235605512981279
0.0,50,A,0.13332113395079248,1.290005963852947,-0.15819860909935868,5.768709134247171,-0.014663736814483814,0.8022171052631579,0.21871863143962944,-0.15819860909935868,4.835586126442839,0.04543471521688747,-0.13759772173423046,6.64921424988067,-0.013676687696411232,0.7566637426597359,0.14166860931448189,-0.06230176195503356,2.1616194597396334
