cash_annual,cost_bps,candidate,horizon_days,phase_offset,aggregate,cagr_full,sharpe_full,max_dd_full,ulcer_full,cvar5_full,dsr,cagr_disc,sharpe_disc,cagr_conf,sharpe_conf,max_dd_conf,ulcer_conf,phase_top2_sharpe,cost_drag
0.0,15,N0,63,0,phase,0.11387302964566559,1.1728584090307788,-0.15817211752298865,5.94325220966183,-0.014035137385072779,0.5957653611306465,0.15208347526034305,1.3232668039796,0.04478394188337398,0.5841207966190793,-0.12298409158450574,6.718867041806497,,
0.0,15,N0,63,15,phase,0.11090513200477625,1.2935833152165472,-0.16821736165961698,6.488948604789174,-0.011813138085827691,0.6877943998496374,0.1368773845857052,1.727800895441248,0.037832856347349564,0.4711266063724597,-0.16821736165961687,8.793655187331971,,
0.0,15,N0,63,31,phase,0.09644659326717897,1.0764532756125276,-0.16140793176243762,6.128160708409863,-0.013326895741877329,0.5192151407645983,0.14425483125765348,1.526346210102294,0.04258657043578773,0.5578806092594162,-0.16140793176243784,8.11090599836044,,
0.0,15,N0,63,47,phase,0.12648426419361014,1.3352694123910827,-0.14586054591096909,6.5730955463891485,-0.013168697838456287,0.6892622076628319,0.12211077309258989,1.339433959932965,0.1136493364353317,1.1197161042822146,-0.14586054591096909,8.12841472684574,,
0.0,15,N0,63,-1,median,0.11238908082522092,1.2332208621236629,-0.15979002464271314,6.308554656599519,-0.013247796790166808,0.641779880490142,0.14056610792167934,1.4328900850176294,0.043685256159580854,0.5710007029392478,-0.15363423883670346,8.11966036260309,1.0,0.007409124899756314
0.0,15,N0,63,-2,worst,0.09644659326717897,1.0764532756125276,-0.16821736165961698,6.5730955463891485,-0.014035137385072779,,,,0.037832856347349564,0.4711266063724597,-0.16821736165961687,8.793655187331971,,
0.0,15,H21,21,0,phase,0.07552047476354407,0.9057242365564083,-0.15834464128842218,8.573760749734685,-0.012284378401381984,0.396386032491435,0.08894563185884574,1.0207522804396194,0.03191878091762579,0.4276921231120015,-0.15322045272066476,8.569197199005908,,
0.0,15,H21,21,5,phase,0.07643864287067492,0.9228485457941646,-0.14083152014808764,7.056056996917409,-0.012263491231180661,0.40287610638518045,0.07987623290703327,0.9426528462078033,0.07281302362293274,0.885842673753142,-0.14083152014808764,6.595027869714516,,
0.0,15,H21,21,10,phase,0.0747916687768242,0.8824630839821184,-0.13453013619338183,6.540162568713701,-0.012740116920989161,0.37100830247576083,0.09017342329069322,1.0080003657681165,0.05186800239103473,0.6617321592066445,-0.13453013619338183,7.153355461440659,,
0.0,15,H21,21,15,phase,0.08766301419437306,1.054909342146445,-0.14908367210085005,6.348880813458256,-0.011955248902216166,0.5101874548679152,0.11104907617863802,1.3880537373219999,0.034045751159794246,0.43610431813949285,-0.14591123241067228,8.215799615775131,,
