cash_annual,cost_bps,candidate,horizon_days,phase_offset,aggregate,cagr_full,sharpe_full,max_dd_full,ulcer_full,cvar5_full,dsr,cagr_disc,sharpe_disc,cagr_conf,sharpe_conf,max_dd_conf,ulcer_conf,phase_top2_sharpe,cost_drag
0.0,15,N0,63,0,phase,0.11387302964566559,1.1728584090307788,-0.15817211752298865,5.94325220966183,-0.014035137385072779,0.5957653611306465,0.17911177628347552,1.5849148500193317,0.04478394188337398,0.5841207966190793,-0.12298409158450574,6.718867041806497,,
0.0,15,N0,63,15,phase,0.11090513200477625,1.2935833152165472,-0.16821736165961698,6.488948604789174,-0.011813138085827691,0.6877943998496374,0.1340783144414286,1.6575076325001776,0.033260553410659144,0.41545129241233625,-0.16821736165961687,9.050225923185016,,
0.0,15,N0,63,31,phase,0.11453586321291409,1.3151181757388015,-0.16140793176243762,5.82478955370546,-0.012442201346611304,0.6739850757029909,0.16460167507601886,1.7139290520034356,0.04258657043578773,0.5578806092594162,-0.16140793176243784,8.11090599836044,,
0.0,15,N0,63,47,phase,0.12648426419361014,1.3352694123910827,-0.14586054591096909,6.5730955463891485,-0.013168697838456287,0.6892622076628319,0.13242714458752736,1.4662209656658673,0.1136493364353317,1.1197161042822146,-0.14586054591096909,8.12841472684574,,
0.0,15,N0,63,-1,median,0.11420444642928984,1.3043507454776744,-0.15979002464271314,6.216100407225502,-0.012805449592533796,0.6808897377763141,0.14933999475872373,1.6212112412597546,0.043685256159580854,0.5710007029392478,-0.15363423883670346,8.11966036260309,0.75,0.0074398818869624295
0.0,15,N0,63,-2,worst,0.11090513200477625,1.1728584090307788,-0.16821736165961698,6.5730955463891485,-0.014035137385072779,,,,0.033260553410659144,0.41545129241233625,-0.16821736165961687,9.050225923185016,,
0.0,15,H21,21,0,phase,0.09723159053724473,1.1680443810600234,-0.15834464128842218,8.363948069641586,-0.011777805054416508,0.5832508595805962,0.08118220161885814,0.9450500998750905,0.06395340147735906,0.8250506221790546,-0.15322045272066476,8.461678267481698,,
0.0,15,H21,21,5,phase,0.09297510989612334,1.1174562267895116,-0.14083152014808764,6.990945647011775,-0.011876929488406034,0.5345289972057717,0.07315966558389864,0.8758713083798437,0.08621758213874431,1.0305570960667043,-0.14083152014808764,6.595085268358826,,
0.0,15,H21,21,10,phase,0.08677071980722317,1.0355854348114932,-0.13453013619338183,6.410871027057439,-0.012404227387462635,0.469558265910534,0.07859306399770127,0.8948717004574495,0.06304138220257993,0.794717291808868,-0.13453013619338183,7.1494188511202745,,
0.0,15,H21,21,15,phase,0.09812472651468429,1.2060854528414973,-0.14591123241067228,5.93620082231134,-0.011526892029857913,0.6037761010123948,0.10793385894951668,1.357138822215352,0.04882996498947145,0.6067265522406178,-0.14591123241067228,8.095888794550847,,
0.0,15,H21,21,-1,median,0.09510335021668403,1.1427503039247675,-0.14337137627937996,6.7009083370346065,-0.01182736727141127,0.558889928393184,0.07988763280827971,0.91996090016627,0.0634973918399695,0.8098839569939613,-0.14337137627937996,7.622653822835561,0.0,0.01646270535062666
