cash_annual,cost_bps,candidate,horizon_days,phase_offset,aggregate,cagr_full,sharpe_full,max_dd_full,ulcer_full,cvar5_full,dsr,cagr_disc,sharpe_disc,cagr_conf,sharpe_conf,max_dd_conf,ulcer_conf,phase_top2_sharpe,cost_drag
0.0,15,N0,63,0,phase,0.11387302964566559,1.1728584090307788,-0.15817211752298865,5.94325220966183,-0.014035137385072779,0.5957653611306465,0.17911177628347552,1.5849148500193317,0.04478394188337398,0.5841207966190793,-0.12298409158450574,6.718867041806497,,
0.0,15,N0,63,15,phase,0.11090513200477625,1.2935833152165472,-0.16821736165961698,6.488948604789174,-0.011813138085827691,0.6877943998496374,0.1340783144414286,1.6575076325001776,0.033260553410659144,0.41545129241233625,-0.16821736165961687,9.050225923185016,,
0.0,15,N0,63,31,phase,0.09644659326717897,1.0764532756125276,-0.16140793176243762,6.128160708409863,-0.013326895741877329,0.5192151407645983,0.16460167507601886,1.7139290520034356,0.015391247918226547,0.21496193398642222,-0.16140793176243784,8.33726028908713,,
0.0,15,N0,63,47,phase,0.12648426419361014,1.3352694123910827,-0.14586054591096909,6.5730955463891485,-0.013168697838456287,0.6892622076628319,0.13242714458752736,1.4662209656658673,0.1136493364353317,1.1197161042822146,-0.14586054591096909,8.12841472684574,,
0.0,15,N0,63,-1,median,0.11238908082522092,1.2332208621236629,-0.15979002464271314,6.308554656599519,-0.013247796790166808,0.641779880490142,0.14933999475872373,1.6212112412597546,0.03902224764701656,0.4997860445157078,-0.15363423883670346,8.232837507966435,1.0,0.007409124899756314
0.0,15,N0,63,-2,worst,0.09644659326717897,1.0764532756125276,-0.16821736165961698,6.5730955463891485,-0.014035137385072779,,,,0.015391247918226547,0.21496193398642222,-0.16821736165961687,9.050225923185016,,
0.0,15,H21,21,0,phase,0.07552047476354407,0.9057242365564083,-0.15834464128842218,8.573760749734685,-0.012284378401381984,0.396386032491435,0.08118220161885814,0.9450500998750905,0.025115698735987957,0.3392614038244107,-0.15322045272066476,8.868372950901305,,
0.0,15,H21,21,5,phase,0.07643864287067492,0.9228485457941646,-0.14083152014808764,7.056056996917409,-0.012263491231180661,0.40287610638518045,0.07315966558389864,0.8758713083798437,0.0530970065485461,0.6476293850071102,-0.14083152014808764,6.78526591417835,,
0.0,15,H21,21,10,phase,0.0747916687768242,0.8824630839821184,-0.13453013619338183,6.540162568713701,-0.012740116920989161,0.37100830247576083,0.07859306399770127,0.8948717004574495,0.04156969599245497,0.5167589719592098,-0.13453013619338183,7.307128084708079,,
0.0,15,H21,21,15,phase,0.08766301419437306,1.054909342146445,-0.14908367210085005,6.348880813458256,-0.011955248902216166,0.5101874548679152,0.10793385894951668,1.357138822215352,0.0338355736252971,0.41797571052716925,-0.14908367210084972,8.511670029320843,,
0.0,15,H21,21,-1,median,0.0759795588171095,0.9142863911752865,-0.14495759612446885,6.798109782815555,-0.012273934816281322,0.39963106943830773,0.07988763280827971,0.91996090016627,0.037702634808876034,0.46736734124318957,-0.14495759612446868,7.909399057014461,0.0,0.015300931010702623
